date,equal_weight,minimum_variance,max_sharpe
2018-01,0.022451464227214998,0.0038558664710892664,0.005758202455508967
2018-02,-0.027041929286133293,0.004141896584756375,0.0015701305545709017
2018-03,-0.0014831686217708182,0.0048939633391815625,0.0038460548607579964
2018-04,-0.00886632493576517,0.005802299702017499,0.005661424212248889
2018-05,-0.0009421901470104822,0.005201109040293041,0.005595667512923856
2018-06,-0.03870608143692545,0.004509672235323276,0.004432041952410954
2018-07,0.006820504060586298,0.0066418734882697636,0.007630202280120598
2018-08,-0.023868155292134895,0.001736292264404334,0.0026594848934974103
2018-09,-0.0012621681191306456,0.00199049754271424,0.0020881604067751326
2018-10,-0.05414561683195739,0.0025359863157112493,-0.002804498217514175
2018-11,0.02417266913213153,0.0067565653224741385,0.007129362737585041
2018-12,-0.02218346116123862,0.0031639740692278196,-0.0001199677255762663
2019-01,0.03437168712533462,0.00894736856350101,0.010424752891169196
2019-02,0.07251848580702545,0.003338409433477122,0.004238941165970837
2019-03,0.036618602868422945,0.003853925385923805,0.004243303870208354
2019-04,-0.004165495320381149,0.0012055403362534636,0.002406789514785027
2019-05,-0.036707826301031976,0.0008318414594926539,-0.001554991735836427
2019-06,0.034533490813438185,0.006301669958185849,0.008410267538753739
2019-07,-0.0058414095173976105,0.004317932825196434,0.004573184469084791
2019-08,-0.007307404144485315,0.004886008331605507,0.004266565735252946
2019-09,0.0014753950772742658,0.0035387473290773917,0.0036462804599749726
2019-10,0.008865392324644037,0.001850738103882971,0.0023252663898998384
2019-11,-0.008410412861475704,0.004648580242601403,0.00558141041854045
2019-12,0.04385447220849311,0.005462105818846461,0.006246625783606149
2020-01,-0.0066649972175984356,0.00410705004861368,0.0046359105380497515
2020-02,-0.003753815335956088,0.006267537159923369,0.004131633919455486
2020-03,-0.06110029612917345,0.007089667641212879,0.006726543408411508
2020-04,0.047480131198578905,0.010481185432621375,0.011156609003291846
2020-05,-0.012390359162318633,-0.0024916399506245486,0.0005360857105987614
2020-06,0.04407460483061887,-0.0009081622356774208,-0.0008913108807874882
2020-07,0.05446767808272022,0.0019989334952076557,0.0030984178547510404
2020-08,0.015916202785801626,0.001801359226645575,0.0018034585793033663
2020-09,-0.04156825240664639,0.0011925623711471938,0.00044172018772509355
2020-10,-0.005686108531470306,-0.0006052004924926854,-0.0010659915288626612
2020-11,0.04128305350773815,0.002611644083492275,0.0026190469470566847
2020-12,0.024791535337498814,0.004486746632448547,0.004613369911759768
2021-01,-0.004792202504599035,0.00332914886956588,0.0032325918907004027
2021-02,0.007358077317378802,0.000833248855478788,0.0009194217815919767
2021-03,-0.007615388089388266,0.004362660797100965,0.004507974108565151
2021-04,0.021600811419003337,0.004323144473217559,0.004734552311018043
2021-05,0.0289543828052194,0.004091478900582356,0.004057648275864326
2021-06,-0.002484637946352182,0.001411522087290356,0.0015751081710987942
2021-07,-0.008261774831608941,0.0070651882916720875,0.006888592285598426
2021-08,0.017843384527053356,0.005051355237594331,0.0053003001498606005
2021-09,-0.029164061043440204,0.0020920987132681847,0.0018370108303592421
2021-10,0.01336865626403934,0.0017480183124491844,0.0021150443864850106
2021-11,0.002765406038740104,0.004775495843637695,0.004610835806674433
2021-12,0.009423910718514032,0.0046674689677606435,0.005196375762787561
2022-01,-0.03930802049765208,0.004834705172449589,0.0028025498324888167
2022-02,0.0025121562101910744,0.0010329573043393546,0.001174758964033481
2022-03,-0.023364546731144076,0.0007339267867112426,0.0013815132415070039
2022-04,-0.04724875212731468,0.0025892884543897814,0.0014869263240255251
2022-05,0.026020345959723388,0.0048436540040256645,0.004463993736579293
2022-06,0.01464166452533206,0.0022274049930169106,0.0010475881120190558
2022-07,-0.006319422545749212,0.002452162551288922,0.003442325601108226
2022-08,-0.02280910596221398,0.005431885279604145,0.005250868770884088
2022-09,-0.06923959814828003,-0.001324664016776979,-0.0007066933624875141
2022-10,-0.02690142137336011,0.002921425892158835,0.0037872284069615735
2022-11,0.0815884566819366,0.00022485553552796902,-0.00026323334626464535
2022-12,0.0036239472385579514,0.001453302607628262,0.0006986669843981326
2023-01,0.06287372722054752,0.004810518392782449,0.004346123621407315
2023-02,-0.01950223221960172,0.00010177419131522956,0.0005753581155452421
2023-03,0.007816411785482452,0.003597944623754818,0.0036617302440649234
2023-04,-0.0024563344578907645,0.0038409161991886805,0.004097324573664089
2023-05,-0.03068490227079986,0.004296721226530129,0.004573924838145095
2023-06,0.007187765380759388,0.004838352271246185,0.005114531026523435
2023-07,0.01627537837308734,0.003855263734134102,0.003859603814088893
2023-08,-0.04021223341602699,0.0035524080989919175,0.004012145644176662
2023-09,-0.0198458437119871,-0.0003460016813035068,-0.00034646662166167204
2023-10,-0.021146007577490567,0.0009890850940974382,0.0012388795905568606
2023-11,0.019732215552944833,0.002078483993761878,0.002550448974735839
2023-12,0.006982439632050716,0.0036653246862172265,0.003936567688861161
2024-01,-0.061878145507831266,0.008422803870393344,0.009297249447000985
2024-02,0.05299389622319018,0.007660473766692711,0.006812326029515056
2024-03,0.004796291003928448,0.003831561759566745,0.005439468437831032
2024-04,0.010427437786517032,0.008903138807200991,0.009069946417677766
2024-05,0.007390064614817372,0.004077795863505946,0.004067524594149126
2024-06,-0.02427872399614506,0.005681985365587109,0.00627476665081888
2024-07,0.005513861054368249,0.006526701934155383,0.006863144130345339
2024-08,0.002250727016747003,0.004231996859156571,0.004172253037650423
2024-09,0.1138659525223846,0.0061944850920909265,0.004943729428464822
2024-10,-0.00031180473248778505,0.0031105746249458235,0.00544108832159974
2024-11,-0.0037870686828853487,0.0075468504540773095,0.006691476467530055
2024-12,-0.003116640556742385,0.013925796468299338,0.013876164462719174
