,000012,000852,000905,399300,H11001
2015-01,0.00681635650986069,0.0861178395094499,0.0582435952786492,-0.0281050625335165,0.0109525012632643
2015-02,0.00631340678520792,0.0909313647991468,0.0684810273103902,0.040313709275883,0.00772239369212884
2015-03,0.00249325871624273,0.229470274526848,0.205142243127523,0.133888054974708,-0.00917601835203664
2015-04,0.00375761999378224,0.159411525613049,0.167730808768218,0.17246280365047,0.0135410800325386
2015-05,0.00261914059869925,0.279625047517359,0.176768571820895,0.0191463542493439,0.00414264017681863
2015-06,0.00489554163225004,-0.126330964189569,-0.10643538652402,-0.0759851256881828,0.0042915552276429
2015-07,0.0043771718791767,-0.189591854127806,-0.132377762457304,-0.146724635244639,0.0121645861775529
2015-08,0.00409860607471981,-0.138034176543827,-0.14827733338717,-0.117945638364461,0.00689530030847388
2015-09,0.00471801260345494,-0.0280424061051066,-0.0695280713742076,-0.0485923810112235,0.00639754910794736
2015-10,0.00767693555727044,0.189033361203462,0.156970420137932,0.103383195730933,0.0115140119974931
2015-11,0.00198969807640704,0.0884741473527215,0.0456498692796344,0.00914891828960236,-0.000106217249681352
2015-12,0.00949108700054218,0.0613117039072349,0.0282503682644523,0.0461508653515074,0.0159519847030913
2016-01,0.00425121648203736,-0.304174242866752,-0.282049319682124,-0.210376292714697,0.00223062579509603
2016-02,0.00335049387568386,-0.0273611689739673,-0.0217020090050968,-0.0232929068697834,0.00335587974474453
2016-03,0.0058052542688526,0.175885298835861,0.150526106854136,0.118375293270088,0.00693192846249837
2016-04,0.000376695929768539,-0.0184061448206555,-0.0276519076112437,-0.0190619398848013,-0.00744068107760811
2016-05,0.00318475402721398,-0.0113537647712489,-0.00639401870557875,0.00405924456996061,0.00394763459815635
2016-06,0.00309829943441717,0.0663053639029286,0.0296220719174108,-0.00493380940376891,0.00718488410920097
2016-07,0.00490898712500793,-0.0274575313699113,0.0129661268550276,0.0158561359019456,0.0097744446857888
2016-08,0.00489131806821341,0.0396760885956976,0.0372919599438456,0.0386600206621243,0.00673059505479572
2016-09,0.00319685464674451,-0.020067139000586,-0.0164937109606307,-0.0223899075483639,0.00533048441058229
2016-10,0.00622307923469899,0.0288059638248109,0.0196141455726107,0.0255105224411633,0.00525188346299907
2016-11,-0.0022398924851608,0.0117170648407476,0.0206707597370574,0.0604634865559766,-0.00801749271137028
2016-12,-0.00359810927775906,-0.0581316758131775,-0.0488874325078224,-0.0644205583887625,-0.015121346562642
2017-01,-0.000494414369308807,-0.0335643228643128,-0.00637330517498971,0.0235281251425568,-0.00222671488368115
2017-02,0.00197863574317811,0.0368291190539067,0.0365158636992172,0.0191410113634721,-0.00175795073171857
2017-03,0.000987364237417452,-0.0198564048365283,-0.00764567189120398,0.000937207665640414,0.000680404354587868
2017-04,0.00270945186665,-0.0596061035506514,-0.0296464285446498,-0.00471434697339088,-0.0040625089278061
2017-05,-0.00286400936406545,-0.0802575132471199,-0.0624221851676679,0.0154464579288106,-0.00655177161740405
2017-06,0.00160470547098421,0.0350861869126329,0.053922800829106,0.0497906458414748,0.0120291980919601
2017-07,-0.000299231349471058,-0.00278672156974725,0.0260410455517911,0.0193833966310662,0.00310422551285334
2017-08,0.0021763124910359,0.0315534394624441,0.027377897745316,0.0225315306325281,-0.00202515515760369
2017-09,-0.000112001592911548,0.0211872048371646,0.0205292510879499,0.00376966232899104,0.00450884383211823
2017-10,0.00074053791678594,-0.0269111489501039,-0.00652011378018038,0.0443677715710226,-0.00401761394588704
2017-11,-4.35288191873579e-05,-0.0626296184528063,-0.0452400496630821,-0.000154490533149497,-0.00546388933202673
2017-12,0.000261184284168511,-0.0190425120425836,-0.0020116801984092,0.00617957768891879,0.00254358175266541
2018-01,0.00264224609569272,-0.0322546214376336,-0.00983550800766804,0.0607920652070095,0.00255427111845077
2018-02,0.00479931544647896,-0.0334561476799692,-0.0267660159619579,-0.0589950791634696,0.00898271852628695
2018-03,0.00565268101229888,0.0357810588000136,0.0151171784277279,-0.0311021706205472,0.00976703723788856
2018-04,0.0058847713898247,-0.0414219373559644,-0.0414987526857242,-0.0363273240104265,0.0131634154391815
2018-05,0.00474005929649477,-0.0309774938185261,-0.0181725457704713,0.0121111263720176,0.00165648846531872
2018-06,0.00452340329935201,-0.111894972931854,-0.0932684562883669,-0.0766339257348563,0.00669217115200158
2018-07,0.00586905539034358,-0.0117665287340583,-0.00556694400130027,0.00190032141977252,0.0117018946446172
2018-08,0.00108163326623205,-0.0874252125784139,-0.0720588538553943,-0.052066759209326,-0.000546663996492685
2018-09,0.00193283111738049,-0.0139802707995377,-0.00292741749231111,0.031297308385295,0.00234490078849316
2018-10,0.00431951209283658,-0.117631419013958,-0.110020165687336,-0.0828883948628399,0.0102113037511684
2018-11,0.00629928775098715,0.0562582985597688,0.0243645952114802,0.0059822634307633,0.0108354414132067
2018-12,0.00704233701257909,-0.0469344587047328,-0.0476654409958664,-0.0510721186122817,0.00781460807915137
2019-01,0.00636912680566507,-0.0167692093767439,0.00202445468321293,0.0634343900029694,0.00969120441826526
2019-02,0.00265552981914326,0.223751623147041,0.203237707214267,0.146093259283622,0.000759119836945149
2019-03,0.00352938431203252,0.10897487007862,0.103947214201128,0.0553149450723149,0.00375115600029099
2019-04,-2.90658807252254e-05,-0.0387358802221948,-0.0432788190183385,0.010554339093587,-0.00807470133957226
2019-05,0.00312176632677979,-0.0612413845535455,-0.0745274664817732,-0.0724269659877782,0.00879271118161516
2019-06,0.00439280229492035,-0.00240240048831618,0.00783367104363361,0.053941978445579,0.00568484541255213
2019-07,0.00409086450525929,-0.0228017528361251,-0.00954998303194824,0.00255437923644134,0.00661968933237325
2019-08,0.00550505108549493,-0.00329590132487967,-0.00340777242957323,-0.00932715816172623,0.00741925429340799
2019-09,0.0031546462452853,0.00953722161639026,0.0111345680563612,0.003932533702356,0.000948473059814727
2019-10,0.0013216963288745,0.00410787657717225,-0.00475338212468447,0.0189339283916648,-0.00253362115269628
2019-11,0.00390296078832968,-0.0242232361182144,-0.00457048893758662,-0.0149433254295618,0.00882923706857137
2019-12,0.00466987815245119,0.0859081479689816,0.0761439052801852,0.069974933860862,0.00673770293679246
2020-01,0.00494714396922284,0.0237065237443355,0.0208971266569495,-0.0226239826274686,0.00671761987174993
2020-02,0.00721859546115375,0.0301733213920739,0.0136765604739983,-0.0159474472520674,0.0140362209027899
2020-03,0.0106221124963078,-0.0755981213313108,-0.0751816542506452,-0.0644393001203792,0.00817776471164674
2020-04,0.00751062902896733,0.046255370239751,0.0619676509926799,0.0614249807726479,0.015892378948187
2020-05,-0.000103992775238803,0.0243448324687935,0.00980227349986747,-0.0116429657486613,-0.0108645211908395
2020-06,-0.00140678541322272,0.0865064300942164,0.0847294102849617,0.0767880097946146,-0.00869615685971039
2020-07,0.00065230856936123,0.130078125741745,0.121965085696513,0.127542409108244,-0.00388856362217017
2020-08,0.000427284878497726,0.0115456049575502,0.0134904942041166,0.0258078408603451,-0.0036490451257084
2020-09,0.00228883072508847,-0.0840092934070465,-0.0713702904415475,-0.0475103374745521,-0.000275295204947505
2020-10,-0.000245842529665086,-0.0160191103160736,-0.0130843656969192,0.0235294758790118,0.00312251059686677
2020-11,0.000628418734528654,0.0170785288884097,0.0342738583780035,0.0564215453043384,0.00173041760418036
2020-12,0.00362615638345505,0.00364145163377579,0.00730444693071151,0.0506095254837857,0.00815267922681672
2021-01,0.00334642884349601,-0.0515094168727659,-0.00329474181006626,0.0269946700316698,0.00291239515377457
2021-02,0.000498934341325392,0.00337668171820378,0.00287040761962755,-0.00284082575278421,0.000120997405815509
2021-03,0.00420088354066714,-0.0050610198082178,-0.0173282343075565,-0.0540402689946206,0.00677987427470836
2021-04,0.0035409694483429,0.0141011397351382,0.037037960879875,0.0148816615927426,0.00506147797079435
2021-05,0.00379203511263158,0.0677245047739503,0.037510631067572,0.0406131446754351,0.00624596475286359
2021-06,0.00125923663467662,0.0395248976316641,0.0117687778152772,-0.0201683556625909,0.00179181657881845
2021-07,0.00725157340411878,0.0252245295537643,-0.00600262948278567,-0.0790328789532854,0.0144132689369859
2021-08,0.00478718034546324,0.0641716362246386,0.0721151487532132,-0.00115564405331768,0.00323642758259441
2021-09,0.0026333601252169,-0.0417886083342756,-0.0209134180029004,0.0126462613487154,0.00095101348201456
2021-10,0.000933495068825444,-0.00272190985518529,-0.0114180005428228,0.00871016522949399,-0.000945452513133886
2021-11,0.00524798853451491,0.0905832595945597,0.0327883279157463,-0.0156340590412671,0.00790176635945355
2021-12,0.00410938081485258,-0.00545870585737543,0.0147043433839968,0.0224226856395226,0.00668350261789788
2022-01,0.00570035548920213,-0.129497133948639,-0.105833598979917,-0.0762292644705166,0.00956586062881058
2022-02,0.00194125371770847,0.0640786403576074,0.0414522842385036,0.00391649714315259,-0.00255312177162079
2022-03,0.00176135686644254,-0.087301988414561,-0.0770937188289217,-0.0783668140227333,0.00083496828945577
2022-04,0.00434393633030466,-0.153213532356822,-0.110207636062894,-0.0488694516668296,0.00474121621313587
2022-05,0.00447961773928627,0.107917822900821,0.0707785956471879,0.0187431481327938,0.00659276837286122
2022-06,0.00204528328967671,0.101077904292021,0.070996378005047,0.0961728629814168,-0.000274965516619669
2022-07,0.00345811890608848,0.0174259848789156,-0.0247849499184858,-0.0702136516499069,0.00763351894853129
2022-08,0.00654574373719155,-0.0515201124450188,-0.021983713672806,-0.021884836390093,0.00919553602591744
2022-09,0.00201578184985969,-0.0927126095601626,-0.0717513360687722,-0.0671649292445891,7.09430548967094e-05
2022-10,0.00376061463809139,0.0273891795801507,0.0162831596361468,-0.0778425629158306,0.00585238684277028
2022-11,-0.00194879748620231,0.0473074883446781,0.0601058427381901,0.0981371179036812,-0.00878921315825432
2022-12,0.00158428230497935,-0.0468393961009707,-0.0473802851036534,0.00482658225187046,0.00162757087270712
2023-01,0.00254897713476835,0.0833630363882189,0.0724162997251072,0.073670186799682,0.00164268494634625
2023-02,0.00129637166674209,0.0220855113003499,0.010873488468235,-0.0210252551326026,0.00203447526937961
2023-03,0.0033722243131351,-0.0114679248614133,-0.00278677191710303,-0.00455416801103044,0.0060556464811784
2023-04,0.00410608811335003,-0.0221796478319348,-0.0155483958687774,-0.00539135990141517,0.00611592558883929
2023-05,0.00563336786738923,-0.0240441271071296,-0.0309941415525495,-0.0572196771178376,0.00804090372765798
2023-06,0.00434870900796926,0.00615516008247316,-0.00811418760071831,0.011559432129635,0.00552304157454372
2023-07,0.00298850461344247,-0.0130547587055329,0.0149221610111075,0.044809408159165,0.00343617424895675
2023-08,0.00505450308039508,-0.0631619916299472,-0.057298140038103,-0.062113320530161,0.00782414787252782
2023-09,0.000156547348234736,-0.00415281371558884,-0.00847266560012038,-0.0201183554530515,-0.00391794067240223
2023-10,0.00171685995607577,-0.0180301022628103,-0.02856045842654,-0.0317144493439114,-0.00139529110651718
2023-11,0.00224127659990026,0.0186295271119541,0.00304093220282274,-0.021358396598914,0.00386598490465756
2023-12,0.00380506009656378,-0.031791876618995,-0.0208872778424,-0.0186181980851798,0.0119375456303715
2024-01,0.00986730345476968,-0.187219127485144,-0.13487163646993,-0.0628828571511844,0.0126152353226589
2024-02,0.00591636347907162,0.116942373635119,0.138346980400172,0.0935297286269125,0.008441490802275
2024-03,0.00377930032776231,0.0180845918454218,-0.0113398816823467,0.00608660262001774,0.00217327532423525
2024-04,0.00840596128307523,0.0103229766634934,0.0293180627680465,0.0189145731825218,0.00564815692806229
2024-05,0.00395553562578189,-0.0258702702899355,-0.0243700723800393,-0.00678865850958569,0.00355844166492432
2024-06,0.00679853121635408,-0.0857525661925489,-0.0688999235194611,-0.0330364462942659,0.00991033313588928
2024-07,0.00616422043625866,-0.0014105429610005,-0.011404104004587,-0.00565422859630527,0.00836903013902536
2024-08,0.00383367601260562,-0.0531308440175159,-0.050609710925026,-0.0350520208106484,0.00145212403225157
2024-09,0.00305615276140278,0.233188891673075,0.23799867819588,0.209675525496232,0.00258760194190319
2024-10,0.00242456648198174,0.0714397320920272,0.0275234245893896,-0.0315628612779705,-0.000187776170804389
2024-11,0.00864019276044728,0.0118471460664091,-0.00836274780598812,0.00656456885562732,0.0101338256390584
2024-12,0.0148346713714548,-0.0373899198723956,-0.0215666978073422,0.00467958932569538,0.0203531036010555
