,annualized_return,annualized_volatility,sharpe_ratio
HSREIT,-0.07523004625007834,0.20020855604472446,-0.4636667287552941
GOLD,0.09409010217314351,0.12176709390837834,0.6281672635687375
HSI,-0.016141797884032805,0.21134533196182367,-0.15965243978101087
SPX,0.11067307727697373,0.15340666122412616,0.6067081868172239
000012,0.04331102403038156,0.00973822950629227,2.640215453308901
000852,-0.001164151368507782,0.29451353801399743,-0.06371235595837355
000905,0.007325408276031231,0.2520650724220634,-0.040761663745164836
399300,0.010812170424923773,0.20929797868019276,-0.032431414855888456
H11001,0.05001848449940294,0.02140552092413991,1.5144917338985775
Current Portfolio,0.03465423152317437,0.11615213656366297,0.14682667084498227
